document ID,InterventionID,Authors,document PY,document title,framing_unit ['Interaction social comparison and reward'],framing_unit CO2,5. framing_unit Color,5. framing_unit colors,framing_unit Energy efficiency (R value),framing_unit health,framing_unit kWh,5. framing_unit None,framing_unit other environmental framing,framing_unit Reward ($),framing_unit savings $,framing_unit therms (heat),intervention base_data_collection,intervention co2_savings_calculated,interventionDuration,interventionFollowup,intervention medium,Awareness Campaign,Bills,co-investments1,Commitment strategies,Competition,Critical Peak Pricing,Dynamic Pricing,Gamification,Goal setting,Historical,Home audits,Home Energy Report,In home display,Moral suasion,Peak Load Pricing,peer comparison,Real-time Pricing,Rewards,tips,ToU,intervention timing,interventionTreatmentPeriod,Baseline Consumption,Opt_in,Randomisation method,coefficient,coefficient_sd,coefficient_sd_type,control_mean,control_sample_size,control_sd,control_type,controls Electricity use,controls Energy prices,controls Environmental attitudes,controls HH controls (demographics),controls None - base model,controls Residence controls,controls Seasonal controls,controls Weather controls,dependent_variable,diff_mean,effect_direction,geographic_location,geographic_scope,page,pooled_sd,significance_test,statistical_technique,study_design,test_statistic,total_sample_size,treated_mean,treated_sd,treatment_sample_size,MonetaryIncentives,Information,Feedback,SocialComparison,Motivation,inter_med_mail,inter_med_webportal,inter_med_homevisit,inter_med_inhomedisplay,inter_med_meter,inter_med_poster,inter_time_ondemand,inter_time_daily,inter_time_week,inter_time_month,inter_time_h1,inter_time_h2,inter_time_higher,city,state,country,r_coefficient,smd1,smd2,smd,zi,var_smd,vi,PercentChange,All
3284572,382,"RLW Analytics,",2006,"2006 Analysis at the Residential Time-at-Day and Energy Watch Pilot Programs Final Report. Submitted to the Idaho Public Utilities Commission, Case No. IPC-E-06-05",0,0,NA,NA,0,0,0,NA,0,1,0,0,0,0,12,0,['Mail'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['On demand'],12,14108,1,household level,NA,NA,not provided,1164.43,419,NA,actual control,0,0,0,0,1,0,0,0,mean monthly electricity consumption,68.22,-1,"Emmett Valley, Idaho, United States",City,12,NA,t-test,Difference of means,Pre-test/post-test,0.87,502,1232.65,NA,83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Emmett Valley, Idaho,United States,0.067371675,NA,0.135050191,0.135050191,0.067473886,0.014452994,0.044632184,5.802665155,1
810472,476,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,0.68,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,0.68,1
810472,477,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,4.75,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,4.75,1
810472,478,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,1.29,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,1.29,1
810472,479,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,9.52,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,9.52,1
810472,480,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,0.53,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,0.53,1
810472,481,"Lifson, D.P.; Miedema, A.K.",1981,A comparative analysis of time-of-use electricity rate effects: The Arizona experiment,0,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['None'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['None'],4,NA,1,No,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent reduction in energy consumption,2.25,-1,"Phoenix, Arizona, United States",City,-999,NA,t-test,Difference of means,Pre-test/post-test,2.19,80,NA,NA,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phoenix, Arizona,United States,0.170596709,NA,0.346269404,0.346269404,0.172281195,0.025374695,0.111803399,2.25,1
802969,489,"Alahmad, MA; Wheeler, PG; Schwer, A; Eiden, J; Brumbaugh, A",2012,A Comparative Study of Three Feedback Devices for Residential Real-Time Energy Monitoring,0,0,NA,NA,0,0,1,NA,0,0,1,0,0,0,4,0,['In-home display'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['On demand'],4,NA,1,no,NA,NA,-999,-999,95,NA,actual control,0,0,0,0,1,0,0,0,Percent change in electricity consumption,12,-1,"Omaha, United States",City,2009,NA,t-test,Difference of means,Control-treatment,0.684,146,NA,NA,51,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,Omaha,United States,0.059264091,NA,0.118736882,0.118736882,0.059333621,0.030182441,0.082760589,12,1
881098,496,"KATZEV, RD; JOHNSON, TR",1983,A SOCIAL-PSYCHOLOGICAL ANALYSIS OF RESIDENTIAL ELECTRICITY CONSUMPTION - THE IMPACT OF MINIMAL JUSTIFICATION TECHNIQUES,0,0,NA,NA,0,0,1,NA,0,0,0,0,2,0,18,12,['Home visit'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['One-time'],4,14198,0,no,NA,NA,-999,105,18,NA,actual control,0,0,0,0,1,0,0,0,Avg % change from base month,10,-1,"Portland, Oregon, U.S.A.",City,-999,NA,H-test,Difference of means,Control-treatment,7.5,66,95,NA,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Portland, Oregon,United States,0.415227399,NA,0.912870929,0.912870929,0.441911224,0.122685185,0.123091491,10,1
881098,497,"KATZEV, RD; JOHNSON, TR",1983,A SOCIAL-PSYCHOLOGICAL ANALYSIS OF RESIDENTIAL ELECTRICITY CONSUMPTION - THE IMPACT OF MINIMAL JUSTIFICATION TECHNIQUES,0,0,NA,NA,0,0,1,NA,0,0,0,0,2,0,18,12,['Home visit'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['One-time'],4,14198,0,no,NA,NA,-999,105,18,NA,actual control,0,0,0,0,1,0,0,0,Avg % change from base month,7,-1,"Portland, Oregon, U.S.A.",City,-999,NA,H-test,Difference of means,Control-treatment,7.5,66,98,NA,18,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,Portland, Oregon,United States,0.415227399,NA,0.912870929,0.912870929,0.441911224,0.122685185,0.123091491,7,1
