User,3. author email,Authors,document ID,document PY,document title,3. abstract,framing_unit ['Interaction social comparison and reward'],5. framing_unit -888,framing_unit CO2,5. framing_unit Color,5. framing_unit colors,framing_unit Energy efficiency (R value),framing_unit health,framing_unit kWh,5. framing_unit None,framing_unit other environmental framing,framing_unit Reward ($),framing_unit savings $,framing_unit therms (heat),intervention base_data_collection,intervention co2_savings_calculated,interventionDuration,interventionFollowup,intervention medium,Awareness Campaign,Bills,co-investments1,Commitment strategies,Competition,5. intervention subtype name consumption,Critical Peak Pricing,Dynamic Pricing,Gamification,Goal setting,Historical,Home audits,Home Energy Report,In home display,Moral suasion,Peak Load Pricing,peer comparison,Real-time Pricing,Rewards,tips,ToU,intervention timing,interventionTreatmentPeriod,Baseline Consumption,Opt_in,Randomisation method,exclusion reason,Notes: Coefficient,Notes: Difference of means,Notes: Doc level,Notes: General variables,Notes: Sample size,Notes: Significance,Notes: Study scope,Notes: Uncertainty,coefficient,coefficient_sd,coefficient_sd_type,control_mean,control_sample_size,control_sd,control_type,controls Electricity use,controls Energy prices,controls Environmental attitudes,controls HH controls (demographics),controls None - base model,controls Residence controls,controls Seasonal controls,controls Weather controls,dependent_variable,diff_mean,effect_direction,geographic_location,geographic_scope,number_of_observations,p_value,page,pooled_sd,significance_bound,significance_test,statistical_technique,study_design,test_statistic,effect test_tails,total_sample_size,treated_mean,treated_sd,treatment_sample_size,underlying_source,InterventionID,Rebound,multicoded,duplicates,MonetaryIncentives,Information,Feedback,SocialComparison,Motivation,inter_med_mail,inter_med_webportal,inter_med_homevisit,inter_med_inhomedisplay,inter_med_meter,inter_med_poster,inter_time_ondemand,inter_time_daily,inter_time_week,inter_time_month,inter_time_h1,inter_time_h2,inter_time_higher,city,state,country,r_coefficient,smd1,smd2,smd,zi,var_smd,vi,PercentChange,All,ElectricityUse,ElectricityPrice,EnvironmentAttitudes,HouseholdType,ResidenceType,Season,Weather,Region,StatsMethod,StudyDesign,Control,BaselineConsumption,InterventionDuration,Randomisation,OptedIn,After2000,StudyYear,Followup,Structural
khat,NA,"Lossin, F; Kozlovskiy, I; Sodenkamp, M; Staake, T",27453,2016,INCENTIVES TO GO GREEN: AN EMPIRICAL INVESTIGATION OF MONETARY AND SYMBOLIC REWARDS TO MO-TIVATE ENERGY SAVINGS,"… to curb ener- gy consumption of customers of a utility company by providing household-specific information … In the present study, the effect of monetary incentives on the activity of the participants is … The incentive of 75 CHF (69€ or USD 75) was not suffi- cient to further increase …",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,NA,0,52,NA,['Web portal'],0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,On demand,NA,2679,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999,7.34,1757,3.91,Pre-test/post test,0,0,0,0,1,0,0,0,Avg daily electricity consumption (kWh),0.18,-1,Germany,City,NA,NA,10,3.91,1,t-test,Difference of means,Pre-test/post-test,NA,1,1757,7.16,3.91,1757,-999,133,0,single,,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,Germany,0.023011808,0.046035806,NA,0.046035806,0.023015871,0.001138605,5.70E-04,2.452316076,1,0,0,0,0,0,0,0,Europe excl. UK,MeansDifferences,PrePost,1,2679,52,Yes,Yes,After,2016,0,
java,kkjessoe@ucdavis.edu,"Jessoe, K; Rapson, D",79529,2014,Knowledge is (Less) Power: Experimental Evidence from Residential Energy Use,"Imperfect information about product attributes inhibits efficiency in many choice settings, but can be overcome by providing simple, low-cost information. We use a randomized control trial to test the effect of high-frequency information about residential electricity usage on the price elasticity of demand. Informed households are three standard deviations more responsive to temporary price increases, an effect that is not attributable to price salience. Conservation extends beyond pricing events in the short and medium run, providing evidence of habit formation and implying that the intervention leads to greenhouse gas abatement. Survey evidence suggests that information facilitates learning.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,NA,1,NA,NA,['Web portal'],0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['On demand'],8,10900,NA,random sampling procedure,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.036,clustered standard errors,NA,207,NA,actual control,0,0,0,0,1,0,0,0,ln(kwh) in 15-minute intervals,NA,-1,"Bridgeport & New Haven, Connecticut, US",-999,437,0.19,1428,NA,2,t-test,OLS regression,Control-treatment,0.86,1,437,NA,NA,130,Actual,256,0,single,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Bridgeport , New Haven,United States,0.04110461,NA,NA,NA,0.041127784,NA,0.002304147,3.1,1,0,0,0,0,0,0,0,United States,OLS,Control-treatment,1,10900,NA,Yes,No,After,2014,0,
java,kkjessoe@ucdavis.edu,"Jessoe, K; Rapson, D",79529,2014,Knowledge is (Less) Power: Experimental Evidence from Residential Energy Use,"Imperfect information about product attributes inhibits efficiency in many choice settings, but can be overcome by providing simple, low-cost information. We use a randomized control trial to test the effect of high-frequency information about residential electricity usage on the price elasticity of demand. Informed households are three standard deviations more responsive to temporary price increases, an effect that is not attributable to price salience. Conservation extends beyond pricing events in the short and medium run, providing evidence of habit formation and implying that the intervention leads to greenhouse gas abatement. Survey evidence suggests that information facilitates learning.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,NA,1,NA,NA,['Web portal'],0,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,['On demand'],NA,10900,NA,random sampling procedure,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,0.048,clustered standard errors,NA,207,NA,actual control,0,0,0,0,1,0,0,0,ln(kwh) in 15-minute intervals,NA,-1,"Bridgeport & New Haven, Connecticut, US",-999,437,0.016,1428,NA,1,t-test,OLS regression,Control-treatment,2.42,1,437,NA,NA,100,Actual,257,0,single,,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Bridgeport , New Haven,United States,0.11499631,NA,NA,NA,0.11550728,NA,0.002304147,11.6,1,0,0,0,0,0,0,0,United States,OLS,Control-treatment,1,10900,NA,Yes,No,After,2014,0,
java,kkjessoe@ucdavis.edu,"Jessoe, K; Rapson, D",79529,2014,Knowledge is (Less) Power: Experimental Evidence from Residential Energy Use,"Imperfect information about product attributes inhibits efficiency in many choice settings, but can be overcome by providing simple, low-cost information. We use a randomized control trial to test the effect of high-frequency information about residential electricity usage on the price elasticity of demand. Informed households are three standard deviations more responsive to temporary price increases, an effect that is not attributable to price salience. Conservation extends beyond pricing events in the short and medium run, providing evidence of habit formation and implying that the intervention leads to greenhouse gas abatement. Survey evidence suggests that information facilitates learning.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,NA,1,NA,NA,['Web portal'],0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['On demand'],8,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,0.036,clustered standard errors,NA,207,NA,actual control,0,0,0,0,1,0,0,0,ln(kwh) in 15-minute intervals,NA,-1,"Bridgeport & New Haven, Connecticut, US",-999,437,0.29,1428,NA,1,t-test,Time & Household Fixed effects regression,Control-treatment,1.055,1,437,NA,NA,130,Actual,258,0,single,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Bridgeport , New Haven,United States,0.050403347,NA,NA,NA,0.050446095,NA,0.002304147,3.8,1,0,0,0,0,0,0,0,United States,PanelEffects,Control-treatment,1,NA,NA,No,No,After,2014,0,
java,kkjessoe@ucdavis.edu,"Jessoe, K; Rapson, D",79529,2014,Knowledge is (Less) Power: Experimental Evidence from Residential Energy Use,"Imperfect information about product attributes inhibits efficiency in many choice settings, but can be overcome by providing simple, low-cost information. We use a randomized control trial to test the effect of high-frequency information about residential electricity usage on the price elasticity of demand. Informed households are three standard deviations more responsive to temporary price increases, an effect that is not attributable to price salience. Conservation extends beyond pricing events in the short and medium run, providing evidence of habit formation and implying that the intervention leads to greenhouse gas abatement. Survey evidence suggests that information facilitates learning.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,NA,1,NA,NA,['Web portal'],0,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,['On demand'],8,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137,0.046,clustered standard errors,NA,207,NA,actual control,0,0,0,0,1,0,0,0,ln(kwh) in 15-minute intervals,NA,-1,"Bridgeport & New Haven, Connecticut, US",-999,437,0.003,1428,NA,1,t-test,Time & Household Fixed effects regression,Control-treatment,2.98,1,437,NA,NA,100,Actual,259,0,single,,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Bridgeport , New Haven,United States,0.141126013,NA,NA,NA,0.142074286,NA,0.002304147,13.7,1,0,0,0,0,0,0,0,United States,PanelEffects,Control-treatment,1,NA,NA,No,No,After,2014,0,
khat,ow761202@yahoo.com,"Ouyang, JL; Gao, LL; Yan, Y; Hokao, K; Ge, J",114625,2009,"Effects of Improved Consumer Behavior on Energy Conservation in the Urban Residential Sector of Hangzhou, China","Consumer behavior is one of the most Important issues with respect to household energy consumption. This paper will evaluate the energy-saving potential of improving consumer behavior on the basis of a field study. In the original survey plan, the monthly electricity use of households in three typical residential buildings In the city of Hangzhou, China, were monitored from April 2007 to July 2008. A total of 124 households in those buildings were selected as the subject households. Half of them were informed of 34 energy-saving measures before July 2008 to teach them how to improve their behavior and control electric appliances in their daily lives. Finally, a questionnaire survey was administered in the beginning of August 2008 to identify the changes in the occupants' behavior. Based on the comparison analyses among the differences in the electricity uses of the 71 remaining valid samples, the conclusions can be drawn that: (1) residential electricity use will increase continually in the near future in China due to improved standards of living and a greater dependency on electric appliances, and (2) more than 10% of household electricity use can be conserved by Informing occupants of energy-saving measures to improve their behavior.",0,NA,0,NA,NA,0,0,0,1,0,0,0,0,4,0,8,0,['Home visit'],0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['None'],4,6097,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999,-999,0,NA,Pre-test/post test,0,0,0,0,1,0,0,0,Household energy consumption during the experiment,72.12,-1,", Hangzhou, China",City,NA,NA,-999,36.51089092,1,t-test,Difference of means,Pre-test/post-test,NA,1,45,NA,NA,45,Actual,499,0,single,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,, Hangzhou,China,0.702699886,1.975301018,NA,1.975301018,0.872614163,0.06612119,0.023809524,1.182876825,1,0,0,0,0,0,0,0,NA,MeansDifferences,PrePost,0,6097,8,No,Yes,After,2009,0,
khat,kmizobuc@cc.matsuyama-u.ac.jp,"Mizobuchi, K; Takeuchi, K",121236,2013,The influences of financial and non-financial factors on energy-saving behaviour: A field experiment in Japan,"This study examines the influences of financial and non-financial factors on electricity-conservation behaviour. A random sample of 236 Japanese households participated in the field experiment and the participants were offered two interventions, such as monetary rewards, depending on their reduction in electricity consumption and comparative feedback. The average saving rates of the (i) reward-intervention group (5.9%) and the (ii) reward with comparative feedback group (8.2%) are statistically larger than those of the (iii) control group (1.7%). Our study demonstrates the following. First, our econometric analysis confirmed a significant response by households to financial incentives but a more inconclusive response to the treatment that provided non-financial, additional information. Second, we found a positive influence of treatment externalities across time and households on energy saving. Third, there is a heterogeneous treatment effect in the reward-intervention group, with the households having a high New Ecological Paradigm (NEP) score being more likely to respond to the reward programme and save electricity than those that do not. Finally, and most interestingly, differences in responses to the questionnaire before and after the experiment suggest that the participants had underestimated the marginal costs of saving electricity before they actually started to do so. (C) 2013 Elsevier Ltd. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,1,0,0,8,0,16,0,['Mail'],0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,monthly,8,5219,1,Household level randomization,NA,NA,NA,"Not sure about the use of ""externalities"".; Not available; (multicoded - practice set - revisit if time allows for it)",NA,NA,NA,NA,NA,4.718,2.294,robust,NA,52,NA,actual control,1,0,1,1,0,1,0,1,Percent change in electricity consumption,NA,-1,"Matsuyama City, Japan",Municipality,208,0.041,782,NA,3,t-test,OLS regression,Difference in Difference,2.056,2,208,NA,NA,106,Actual,94,0,multi,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,Matsuyama City,Japan,0.141131076,NA,NA,NA,0.142079452,NA,0.004878049,4.718,1,1,0,1,1,1,0,1,Asia,OLS,DID,1,5219,16,Yes,Yes,After,2013,0,
khat,kmizobuc@cc.matsuyama-u.ac.jp,"Mizobuchi, K; Takeuchi, K",121236,2013,The influences of financial and non-financial factors on energy-saving behaviour: A field experiment in Japan,"This study examines the influences of financial and non-financial factors on electricity-conservation behaviour. A random sample of 236 Japanese households participated in the field experiment and the participants were offered two interventions, such as monetary rewards, depending on their reduction in electricity consumption and comparative feedback. The average saving rates of the (i) reward-intervention group (5.9%) and the (ii) reward with comparative feedback group (8.2%) are statistically larger than those of the (iii) control group (1.7%). Our study demonstrates the following. First, our econometric analysis confirmed a significant response by households to financial incentives but a more inconclusive response to the treatment that provided non-financial, additional information. Second, we found a positive influence of treatment externalities across time and households on energy saving. Third, there is a heterogeneous treatment effect in the reward-intervention group, with the households having a high New Ecological Paradigm (NEP) score being more likely to respond to the reward programme and save electricity than those that do not. Finally, and most interestingly, differences in responses to the questionnaire before and after the experiment suggest that the participants had underestimated the marginal costs of saving electricity before they actually started to do so. (C) 2013 Elsevier Ltd. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,1,0,0,8,0,16,0,['Mail'],0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,monthly,8,5219,1,Household level randomization,NA,NA,NA,"Not sure about the use of ""externalities"".; Not available; (multicoded - practice set - revisit if time allows for it)",NA,NA,NA,NA,NA,7.325,2.542,robust,NA,52,NA,actual control,1,0,1,1,0,1,0,1,Percent change in electricity consumption,NA,-1,"Matsuyama City, Japan",Municipality,208,0.0044,782,NA,3,t-test,OLS regression,Difference in Difference,2.881,2,208,NA,NA,53,Actual,95,0,multi,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,Matsuyama City,Japan,0.19589116,NA,NA,NA,0.198456146,NA,0.004878049,7.325,1,1,0,1,1,1,0,1,Asia,OLS,DID,1,5219,16,Yes,Yes,After,2013,0,
khat,kmizobuc@cc.matsuyama-u.ac.jp,"Mizobuchi, K; Takeuchi, K",121236,2013,The influences of financial and non-financial factors on energy-saving behaviour: A field experiment in Japan,"This study examines the influences of financial and non-financial factors on electricity-conservation behaviour. A random sample of 236 Japanese households participated in the field experiment and the participants were offered two interventions, such as monetary rewards, depending on their reduction in electricity consumption and comparative feedback. The average saving rates of the (i) reward-intervention group (5.9%) and the (ii) reward with comparative feedback group (8.2%) are statistically larger than those of the (iii) control group (1.7%). Our study demonstrates the following. First, our econometric analysis confirmed a significant response by households to financial incentives but a more inconclusive response to the treatment that provided non-financial, additional information. Second, we found a positive influence of treatment externalities across time and households on energy saving. Third, there is a heterogeneous treatment effect in the reward-intervention group, with the households having a high New Ecological Paradigm (NEP) score being more likely to respond to the reward programme and save electricity than those that do not. Finally, and most interestingly, differences in responses to the questionnaire before and after the experiment suggest that the participants had underestimated the marginal costs of saving electricity before they actually started to do so. (C) 2013 Elsevier Ltd. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,1,0,0,8,0,16,0,['Mail'],0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,monthly,8,5219,1,Household level randomization,NA,NA,NA,"Not sure about the use of ""externalities"".; Not available; (multicoded - practice set - revisit if time allows for it)",NA,NA,NA,NA,NA,5.876,NA,robust,NA,52,NA,actual control,0,0,0,0,1,0,0,0,Percent change in electricity consumption,NA,-1,"Matsuyama City, Japan",Municipality,208,0.001,782,NA,1,t-test,OLS regression,Difference in Difference,3.33,2,208,NA,NA,106,Actual,96,0,multi,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,Matsuyama City,Japan,0.224974889,NA,NA,NA,0.228890097,NA,0.004878049,5.876,1,0,0,0,0,0,0,0,Asia,OLS,DID,1,5219,16,Yes,Yes,After,2013,0,
khat,kmizobuc@cc.matsuyama-u.ac.jp,"Mizobuchi, K; Takeuchi, K",121236,2013,The influences of financial and non-financial factors on energy-saving behaviour: A field experiment in Japan,"This study examines the influences of financial and non-financial factors on electricity-conservation behaviour. A random sample of 236 Japanese households participated in the field experiment and the participants were offered two interventions, such as monetary rewards, depending on their reduction in electricity consumption and comparative feedback. The average saving rates of the (i) reward-intervention group (5.9%) and the (ii) reward with comparative feedback group (8.2%) are statistically larger than those of the (iii) control group (1.7%). Our study demonstrates the following. First, our econometric analysis confirmed a significant response by households to financial incentives but a more inconclusive response to the treatment that provided non-financial, additional information. Second, we found a positive influence of treatment externalities across time and households on energy saving. Third, there is a heterogeneous treatment effect in the reward-intervention group, with the households having a high New Ecological Paradigm (NEP) score being more likely to respond to the reward programme and save electricity than those that do not. Finally, and most interestingly, differences in responses to the questionnaire before and after the experiment suggest that the participants had underestimated the marginal costs of saving electricity before they actually started to do so. (C) 2013 Elsevier Ltd. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,1,0,0,8,0,16,0,['Mail'],0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,monthly,8,5219,1,Household level randomization,NA,NA,NA,"Not sure about the use of ""externalities"".; Not available; (multicoded - practice set - revisit if time allows for it)",NA,NA,NA,NA,NA,8.196,NA,robust,NA,52,NA,actual control,0,0,0,0,1,0,0,0,Percent change in electricity consumption,NA,-1,"Matsuyama City, Japan",Municipality,208,1.00E-04,782,NA,3,t-test,OLS regression,Difference in Difference,2.33,2,208,NA,NA,53,Actual,97,0,multi,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,Matsuyama City,Japan,0.159488476,NA,NA,NA,0.160861777,NA,0.004878049,8.196,1,0,0,0,0,0,0,0,Asia,OLS,DID,1,5219,16,Yes,Yes,After,2013,0,
